Data Point Listing of File C:\Users\Devin\Aug23\1500CCM_cpmg_200.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	usec
291720.000	39446.000	748.000
345415.000	23147.000	750.000
249502.000	66103.000	752.000
175451.000	109878.000	754.000
53120.000	135954.000	756.000
-21736.000	161484.000	758.000
-112745.000	12292.000	760.000
-130208.000	-25112.000	762.000
-28729.000	36546.000	764.000
-70427.000	-64684.000	766.000
-72.000	8.000	768.000
1717.000	-263.000	770.000
7761.000	-19705.000	772.000
286.000	6229.000	774.000
-3931.000	9815.000	776.000
125.000	10093.000	778.000
6431.000	37404.000	780.000
-1589.000	21413.000	782.000
3913.000	-15654.000	784.000
37840.000	-31627.000	786.000
25714.000	-32779.000	788.000
40709.000	-8175.000	790.000
21043.000	56967.000	792.000
82780.000	99713.000	794.000
-54998.000	89643.000	796.000
-59961.000	-5961.000	798.000
-5064.000	-140602.000	800.000
20593.000	-210791.000	802.000
210451.000	-127143.000	804.000
237409.000	-81985.000	806.000
187002.000	105160.000	808.000
168959.000	215525.000	810.000
94796.000	289540.000	812.000
18025.000	167379.000	814.000
34469.000	68210.000	816.000
52661.000	92214.000	818.000
59429.000	-36803.000	820.000
135942.000	-67303.000	822.000
11748.000	-75658.000	824.000
13403.000	-45995.000	826.000
-31510.000	56728.000	828.000
-27264.000	70862.000	830.000
-34.000	-12.000	832.000
473.000	840.000	834.000
4135.000	-598.000	836.000
-3913.000	6265.000	838.000
-3874.000	2087.000	840.000
3881.000	337.000	842.000
12249.000	6779.000	844.000
13614.000	35313.000	846.000
-4159.000	-244.000	848.000
-14615.000	6454.000	850.000
-10255.000	-1551.000	852.000
-33772.000	-3968.000	854.000
-28421.000	-59453.000	856.000
9203.000	-66773.000	858.000
-38537.000	-42607.000	860.000
7492.000	-24979.000	862.000
-47297.000	-12852.000	864.000
-62867.000	40747.000	866.000
30114.000	-20302.000	868.000
100430.000	-168846.000	870.000
224573.000	-128634.000	872.000
207063.000	-72189.000	874.000
244788.000	-40410.000	876.000
230498.000	75588.000	878.000
61135.000	95207.000	880.000
47571.000	105464.000	882.000
64219.000	94322.000	884.000
21443.000	139613.000	886.000
56499.000	143025.000	888.000
-5523.000	92615.000	890.000
-44463.000	81270.000	892.000
-118274.000	49360.000	894.000
43.000	0.000	896.000
-945.000	-492.000	898.000
-9379.000	-2757.000	900.000
-6785.000	-6294.000	902.000
4153.000	-5924.000	904.000
-8982.000	-7923.000	906.000
-18180.000	-27871.000	908.000
3544.000	-30768.000	910.000
-6697.000	19086.000	912.000
-11722.000	17714.000	914.000
-7269.000	11139.000	916.000
-25221.000	-7454.000	918.000
-144255.000	-71624.000	920.000
-111338.000	-80202.000	922.000
-37352.000	-108646.000	924.000
68624.000	-49568.000	926.000
102829.000	-14724.000	928.000
107954.000	37031.000	930.000
107489.000	127487.000	932.000
25813.000	49176.000	934.000
112130.000	-38424.000	936.000
108125.000	-15345.000	938.000
58022.000	-89815.000	940.000
44795.000	74462.000	942.000
98811.000	150598.000	944.000
28055.000	142292.000	946.000
-23907.000	-40461.000	948.000
-14649.000	-185103.000	950.000
31483.000	-194646.000	952.000
26749.000	-152827.000	954.000
26729.000	-36536.000	956.000
-63895.000	48616.000	958.000
-13.000	63.000	960.000
79.000	-1152.000	962.000
-1045.000	-4814.000	964.000
10610.000	728.000	966.000
13004.000	3549.000	968.000
14160.000	-9171.000	970.000
17194.000	-40099.000	972.000
17533.000	5870.000	974.000
-6351.000	-9692.000	976.000
-7009.000	-1204.000	978.000
-12285.000	3836.000	980.000
-4290.000	-10534.000	982.000
-19240.000	-41797.000	984.000
-16945.000	-14317.000	986.000
-20122.000	-15485.000	988.000
50450.000	-42576.000	990.000
53313.000	-46904.000	992.000
69196.000	-68063.000	994.000
10474.000	-62033.000	996.000
41321.000	-33739.000	998.000
89418.000	-87094.000	1000.000
12458.000	-113234.000	1002.000
132156.000	-106579.000	1004.000
235168.000	61677.000	1006.000
204476.000	165165.000	1008.000
114690.000	130652.000	1010.000
5007.000	192806.000	1012.000
-97899.000	55956.000	1014.000
-170717.000	-80637.000	1016.000
-36990.000	5048.000	1018.000
-10902.000	35245.000	1020.000
29715.000	22212.000	1022.000
25.000	11.000	1024.000
-254.000	-432.000	1026.000
1469.000	-3853.000	1028.000
825.000	903.000	1030.000
-7410.000	-4911.000	1032.000
-25083.000	2905.000	1034.000
-18952.000	33718.000	1036.000
-14323.000	8938.000	1038.000
28006.000	-20963.000	1040.000
33550.000	-1310.000	1042.000
44295.000	22595.000	1044.000
62089.000	36378.000	1046.000
86369.000	81509.000	1048.000
-8013.000	97807.000	1050.000
-103565.000	9733.000	1052.000
-172971.000	-28073.000	1054.000
-34015.000	-151486.000	1056.000
60893.000	-157344.000	1058.000
151343.000	-32640.000	1060.000
105465.000	49803.000	1062.000
95482.000	78626.000	1064.000
90441.000	125676.000	1066.000
-50591.000	38046.000	1068.000
-34042.000	21314.000	1070.000
-22923.000	-42196.000	1072.000
68282.000	-29698.000	1074.000
93102.000	34077.000	1076.000
77159.000	85046.000	1078.000
-1940.000	18693.000	1080.000
-103313.000	54525.000	1082.000
-110296.000	42710.000	1084.000
-81746.000	-43312.000	1086.000
4.000	26.000	1088.000
-1172.000	-288.000	1090.000
-1433.000	-564.000	1092.000
-6048.000	-4964.000	1094.000
-2906.000	-3835.000	1096.000
-10457.000	-12564.000	1098.000
-25034.000	-16046.000	1100.000
-796.000	-20676.000	1102.000
21246.000	-6214.000	1104.000
14034.000	14815.000	1106.000
17087.000	26624.000	1108.000
42640.000	36809.000	1110.000
6471.000	123599.000	1112.000
-89245.000	111853.000	1114.000
-17384.000	-250.000	1116.000
-7667.000	-100263.000	1118.000
-4761.000	-134896.000	1120.000
-65026.000	-94154.000	1122.000
-11836.000	-134953.000	1124.000
9047.000	-67283.000	1126.000
88034.000	7791.000	1128.000
151822.000	-22817.000	1130.000
133287.000	2431.000	1132.000
116335.000	48649.000	1134.000
63103.000	78155.000	1136.000
2872.000	81682.000	1138.000
-75406.000	39003.000	1140.000
-67240.000	-33155.000	1142.000
-25965.000	-10400.000	1144.000
-6043.000	-30984.000	1146.000
44100.000	26556.000	1148.000
-25887.000	64594.000	1150.000
-4.000	-35.000	1152.000
-873.000	575.000	1154.000
-1460.000	10756.000	1156.000
-5229.000	-13324.000	1158.000
-4515.000	-13722.000	1160.000
-18048.000	-7877.000	1162.000
-29322.000	-28063.000	1164.000
-1187.000	-26750.000	1166.000
1944.000	10831.000	1168.000
20702.000	8369.000	1170.000
-23354.000	1425.000	1172.000
-50852.000	9870.000	1174.000
-96049.000	-17503.000	1176.000
-193203.000	-59953.000	1178.000
-20034.000	-161897.000	1180.000
131165.000	-85075.000	1182.000
119365.000	-47826.000	1184.000
126413.000	36748.000	1186.000
17011.000	47693.000	1188.000
67539.000	-16341.000	1190.000
80945.000	13415.000	1192.000
43250.000	93795.000	1194.000
48110.000	-2555.000	1196.000
66340.000	-10303.000	1198.000
70941.000	-1381.000	1200.000
78553.000	45024.000	1202.000
71329.000	84085.000	1204.000
-4963.000	53569.000	1206.000
-103580.000	45075.000	1208.000
-135069.000	27707.000	1210.000
-98767.000	-31160.000	1212.000
15837.000	-120611.000	1214.000
39.000	60.000	1216.000
-1189.000	-1938.000	1218.000
5787.000	881.000	1220.000
-24.000	-2869.000	1222.000
3346.000	4006.000	1224.000
6206.000	2201.000	1226.000
4116.000	-38213.000	1228.000
-5635.000	-30951.000	1230.000
-8141.000	11726.000	1232.000
5169.000	3651.000	1234.000
-34260.000	10777.000	1236.000
-10325.000	7051.000	1238.000
-79966.000	-16686.000	1240.000
-3283.000	-23517.000	1242.000
42937.000	29412.000	1244.000
-15904.000	33322.000	1246.000
10458.000	21524.000	1248.000
-8351.000	-21771.000	1250.000
-5298.000	-101868.000	1252.000
8462.000	-69339.000	1254.000
41361.000	-95277.000	1256.000
115644.000	-63103.000	1258.000
93307.000	58008.000	1260.000
127092.000	88764.000	1262.000
27208.000	99037.000	1264.000
21582.000	25443.000	1266.000
-5242.000	-14865.000	1268.000
46751.000	-29039.000	1270.000
26719.000	-28146.000	1272.000
-14777.000	45988.000	1274.000
-41582.000	36548.000	1276.000
-49282.000	18945.000	1278.000
-36.000	49.000	1280.000
735.000	-513.000	1282.000
7740.000	-10766.000	1284.000
3502.000	-5834.000	1286.000
1440.000	5809.000	1288.000
13048.000	9260.000	1290.000
14224.000	17407.000	1292.000
9497.000	22413.000	1294.000
-518.000	-3663.000	1296.000
-4165.000	6663.000	1298.000
26271.000	-8508.000	1300.000
-6633.000	-43833.000	1302.000
38801.000	-41039.000	1304.000
70282.000	60638.000	1306.000
1781.000	111585.000	1308.000
10296.000	99899.000	1310.000
-54467.000	25282.000	1312.000
-31626.000	-64352.000	1314.000
59076.000	-138907.000	1316.000
161252.000	-112947.000	1318.000
145663.000	78242.000	1320.000
25229.000	149203.000	1322.000
-69379.000	126063.000	1324.000
-153732.000	90787.000	1326.000
-120281.000	-54215.000	1328.000
-19591.000	-134590.000	1330.000
80949.000	-65039.000	1332.000
151676.000	43502.000	1334.000
61389.000	69987.000	1336.000
8936.000	134806.000	1338.000
-32101.000	54106.000	1340.000
-109654.000	-77313.000	1342.000
8.000	36.000	1344.000
-78.000	-168.000	1346.000
-2947.000	56.000	1348.000
-3669.000	4803.000	1350.000
-74.000	2966.000	1352.000
10665.000	1732.000	1354.000
-5319.000	17719.000	1356.000
-5045.000	2542.000	1358.000
11219.000	-4852.000	1360.000
-6107.000	-7027.000	1362.000
5112.000	-22498.000	1364.000
19757.000	8913.000	1366.000
27637.000	26987.000	1368.000
45804.000	3923.000	1370.000
49016.000	42745.000	1372.000
-30285.000	31678.000	1374.000
-33339.000	-58442.000	1376.000
-25629.000	-53129.000	1378.000
-965.000	-64303.000	1380.000
83630.000	-50319.000	1382.000
54496.000	-29456.000	1384.000
6424.000	13745.000	1386.000
59769.000	35859.000	1388.000
-100170.000	7147.000	1390.000
-66859.000	-120921.000	1392.000
54776.000	-51614.000	1394.000
-18235.000	13610.000	1396.000
42782.000	62902.000	1398.000
-38572.000	64476.000	1400.000
-85493.000	-22262.000	1402.000
-41191.000	18718.000	1404.000
-34350.000	69851.000	1406.000
24.000	19.000	1408.000
-1114.000	-553.000	1410.000
8129.000	1691.000	1412.000
3570.000	3967.000	1414.000
978.000	8801.000	1416.000
-2276.000	-1136.000	1418.000
40156.000	-2958.000	1420.000
21804.000	275.000	1422.000
-9849.000	-16247.000	1424.000
-5789.000	1600.000	1426.000
-1170.000	-26270.000	1428.000
-241.000	-36886.000	1430.000
-31788.000	-81273.000	1432.000
25823.000	-65922.000	1434.000
104429.000	6965.000	1436.000
110943.000	24565.000	1438.000
23186.000	43198.000	1440.000
-8236.000	33671.000	1442.000
-34972.000	52300.000	1444.000
-22798.000	22003.000	1446.000
55545.000	-56508.000	1448.000
18503.000	5734.000	1450.000
67807.000	126245.000	1452.000
-17893.000	110864.000	1454.000
-23002.000	14048.000	1456.000
-63888.000	54869.000	1458.000
-99422.000	-45162.000	1460.000
36646.000	-132433.000	1462.000
22400.000	-40310.000	1464.000
45376.000	44474.000	1466.000
-28356.000	5718.000	1468.000
-96545.000	87564.000	1470.000
-40.000	14.000	1472.000
1167.000	-288.000	1474.000
-6235.000	-9988.000	1476.000
8407.000	5251.000	1478.000
1994.000	16195.000	1480.000
3334.000	17897.000	1482.000
-959.000	42482.000	1484.000
4639.000	15577.000	1486.000
-1499.000	-12417.000	1488.000
7037.000	-30756.000	1490.000
30412.000	-20939.000	1492.000
-8937.000	-41805.000	1494.000
129882.000	-7931.000	1496.000
153493.000	2262.000	1498.000
-29386.000	134753.000	1500.000
-76914.000	94716.000	1502.000
-93943.000	-10801.000	1504.000
-45292.000	-90128.000	1506.000
56922.000	-148681.000	1508.000
51850.000	-71073.000	1510.000
105194.000	-58718.000	1512.000
84154.000	-16480.000	1514.000
-32630.000	66323.000	1516.000
-32864.000	-6134.000	1518.000
-78565.000	18001.000	1520.000
-79681.000	-57716.000	1522.000
34039.000	15309.000	1524.000
120640.000	97332.000	1526.000
-10933.000	119368.000	1528.000
-1584.000	35754.000	1530.000
