Z,B,Bx,By,Bz
5.580000e+00,5.833994e+02,-27,-5.823333e+02,2.266667e+01
5.600000e+00,5.810730e+02,-2.733333e+01,-580,2.233333e+01
5.620000e+00,5.780408e+02,-2.733333e+01,-577,2.133333e+01
5.640000e+00,5.739924e+02,-2.666667e+01,-573,2.066667e+01
5.660000e+00,5.719567e+02,-2.633333e+01,-571,20
5.680000e+00,5.689430e+02,-2.666667e+01,-568,19
5.700000e+00,5.659866e+02,-27,-565,1.966667e+01
5.720000e+00,5.629759e+02,-2.666667e+01,-562,1.966667e+01
5.740000e+00,5.599971e+02,-27,-559,1.966667e+01
5.760000e+00,5.576444e+02,-26,-5.566667e+02,2.033333e+01
5.780000e+00,5.553151e+02,-26,-5.543333e+02,2.033333e+01
5.800000e+00,5.519877e+02,-26,-551,2.033333e+01
5.820000e+00,5.496373e+02,-25,-5.486667e+02,21
5.840000e+00,5.473234e+02,-2.533333e+01,-5.463333e+02,21
5.860000e+00,5.430136e+02,-2.566667e+01,-542,21
5.880000e+00,5.399500e+02,-25,-539,20
5.900000e+00,5.379660e+02,-25,-537,2.033333e+01
5.920000e+00,5.349107e+02,-25,-534,1.866667e+01
5.940000e+00,5.335796e+02,-25,-5.326667e+02,1.866667e+01
5.960000e+00,5.305422e+02,-2.433333e+01,-5.296667e+02,1.833333e+01
5.980000e+00,5.269207e+02,-2.466667e+01,-526,19
6,5.242468e+02,-2.466667e+01,-5.233333e+02,1.866667e+01
6.020000e+00,5.219175e+02,-2.466667e+01,-521,1.866667e+01
6.040000e+00,5.192364e+02,-24,-5.183333e+02,19
6.060000e+00,5.169477e+02,-2.433333e+01,-516,1.966667e+01
6.080000e+00,5.142807e+02,-2.366667e+01,-5.133333e+02,2.033333e+01
6.100000e+00,5.122868e+02,-24,-5.113333e+02,20
6.120000e+00,5.099578e+02,-24,-509,20
6.140000e+00,5.058957e+02,-2.333333e+01,-505,19
6.160000e+00,5.038901e+02,-2.366667e+01,-503,1.833333e+01
6.180000e+00,5.018816e+02,-2.366667e+01,-501,18
